service_id,date,exception_type
2234,20200620,1
2234,20200704,1
2234,20200718,1
2234,20200827,2
2234,20200828,2
2234,20200831,2
2234,20210101,2
2234,20210107,2
2234,20210108,2
2234,20210308,2
2235,20200828,1
2235,20200827,1
2235,20200831,1
2235,20210101,1
2235,20210108,1
2235,20210107,1
2235,20210308,1
2235,20200620,2
2235,20200718,2
2235,20200704,2
2235,20210501,2
2358,20200704,2
2358,20200718,2
2358,20200829,2
2358,20211225,2
2358,20210109,2
2358,20210102,2
2696,20200620,1
2696,20200701,1
2696,20200702,1
2696,20200703,1
2696,20200710,1
2696,20200709,1
2696,20200708,1
2696,20200706,1
2696,20200707,1
2696,20200714,1
2696,20200713,1
2696,20200715,1
2696,20200716,1
2696,20200717,1
2696,20200724,1
2696,20200723,1
2696,20200721,1
2696,20200720,1
2696,20200722,1
2696,20200729,1
2696,20200728,1
2696,20200727,1
2696,20200730,1
2696,20200731,1
2696,20200718,1
2696,20200704,1
2696,20200807,1
2696,20200806,1
2696,20200805,1
2696,20200804,1
2696,20200803,1
2696,20200810,1
2696,20200811,1
2696,20200812,1
2696,20200813,1
2696,20200814,1
2696,20200821,1
2696,20200820,1
2696,20200819,1
2696,20200818,1
2696,20200817,1
2696,20200824,1
2696,20200825,1
2696,20200826,1
2696,20201228,1
2696,20201229,1
2696,20201230,1
2696,20201231,1
2696,20200827,2
2696,20200712,2
2696,20200711,2
2696,20200705,2
2696,20200719,2
2696,20200726,2
2696,20200725,2
2696,20200829,2
2696,20200830,2
2696,20200823,2
2696,20200822,2
2696,20200815,2
2696,20200816,2
2696,20200808,2
2696,20200809,2
2696,20200802,2
2696,20200831,2
2696,20200901,2
2696,20200902,2
2696,20200903,2
2696,20200905,2
2696,20200904,2
2533,20200827,2
2533,20200828,2
2533,20200829,2
2533,20200831,2
2533,20210308,2
2359,20200828,1
2359,20200829,1
2359,20200831,1
2359,20200827,1
2359,20210101,1
2359,20210102,1
2359,20210107,1
2359,20210108,1
2359,20210109,1
2359,20210308,1
2359,20210501,1
2359,20210503,1
2359,20210510,1
2359,20211225,1
